,EMA 12,EMA 26
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,0.001138153043318898,
14,0.0011381264691847008,
15,0.0011381049355204808,
16,0.0011380873570243668,
17,0.001138072920587319,
18,0.001138061005853057,
19,0.001138051132171684,
